title,year,venue,type,cited_by_count,co_authors
Autophagy accounts for approximately one-third of mitochondrial protein turnover and is protein selective,2019,Figshare,dataset,0,Evelyn S. Vincow; Ruth E. Thomas; Gennifer E. Merrihew; Nicholas Shulman; Theo K. Bammler; James W. MacDonald; Michael J. MacCoss; Leo J. Pallanck
Skyline Performs as Well as Vendor Software in the Quantitative Analysis of Serum 25-Hydroxy Vitamin D and Vitamin D Binding Globulin,2017,Clinical Chemistry,article,95,Clark M. Henderson; Nicholas Shulman; Brendan MacLean; Michael J. MacCoss; Andrew N. Hoofnagle
Panorama: A Targeted Proteomics Knowledge Base,2014,Journal of Proteome Research,article,237,Vagisha Sharma; Josh Eckels; Greg Taylor; Nicholas Shulman; Andrew B. Stergachis; Shannon Joyner; Ping Yan; Jeffrey R. Whiteaker; Goran N. Halusa; Birgit Schilling; Bradford W. Gibson; Christopher M. Colangelo; Amanda G. Paulovich; Steven A. Carr; Jacob D. Jaffe; Michael J. MacCoss; Brendan MacLean
A framework for installable external tools in Skyline,2014,Bioinformatics,article,36,Daniel Broudy; Trevor Killeen; Meena Choi; Nicholas Shulman; D.R. Mani; Susan E. Abbatiello; D.R. Mani; Rushdy Ahmad; Alexandria K. Sahu; Birgit Schilling; Kaipo Tamura; Yuval Boss; Vagisha Sharma; Bradford W. Gibson; Steven A. Carr; Olga Vitek; Michael J. MacCoss; Brendan MacLean
MS1 Label-free Quantification Using Ion Intensity Chromatograms in Skyline (Research and Clinical Applications),2014,,book-chapter,2,Birgit Schilling; Brendan MacLean; Alexandria K. D’Souza; Matthew J. Rardin; Nicholas Shulman; Michael J. MacCoss; Bradford W. Gibson
The PINK1–Parkin pathway promotes both mitophagy and selective respiratory chain turnover in vivo,2013,Proceedings of the National Academy of Sciences,article,479,Evelyn S. Vincow; Gennifer E. Merrihew; Ruth E. Thomas; Nicholas Shulman; Richard P. Beyer; Michael J. MacCoss; Leo J. Pallanck
Global Proteomics and Pathway Analysis of Pressure-Overload–Induced Heart Failure and Its Attenuation by Mitochondrial-Targeted Peptides,2013,Circulation Heart Failure,article,154,Dao‐Fu Dai; Edward J. Hsieh; Tony Chen; Lorena Menéndez; Nathan Basisty; Lauren Tsai; Richard P. Beyer; David A. Crispin; Nicholas Shulman; Hazel H. Szeto; Rong Tian; Michael J. MacCoss; Peter S. Rabinovitch
Maximizing Peptide Identification Events in Proteomic Workflows Using Data-Dependent Acquisition (DDA),2013,Molecular & Cellular Proteomics,article,128,Nicholas W. Bateman; Scott P. Goulding; Nicholas Shulman; Avinash K. Gadok; Karen K. Szumlinski; Michael J. MacCoss; Christine C. Wu
Integrative phenomics reveals insight into the structure of phenotypic diversity in budding yeast,2013,Genome Research,article,159,Daniel A. Skelly; Gennifer E. Merrihew; Michael Riffle; Caitlin Connelly; Emily O. Kerr; Marnie Johansson; Daniel Jaschob; Beth Graczyk; Nicholas Shulman; Jon Wakefield; Sara J. Cooper; Stanley Fields; William Stafford Noble; Eric G. Muller; Trisha N. Davis; Maitreya J. Dunham; Michael J. MacCoss; Joshua M. Akey
A cross-platform toolkit for mass spectrometry and proteomics,2012,Nature Biotechnology,article,4348,Matthew Chambers; Brendan MacLean; Robert Burke; Dario Amodei; Daniel Ruderman; Steffen Neumann; Laurent Gatto; Bernd Fischer; Brian Pratt; Jarrett D. Egertson; Katherine Hoff; Darren Kessner; Natalie Tasman; Nicholas Shulman; Barbara Frewen; Tahmina A Baker; Mi‐Youn Brusniak; Christopher Paulse; David M. Creasy; Lisa Flashner; Kian Kani; Chris Moulding; Sean L. Seymour; Lydia M. Nuwaysir; Brent Lefebvre; Frank E. Kuhlmann; Joe Roark; Rainer Paape; Detlev Suckau; Tina Hemenway; Andreas Hühmer; James Langridge; B. Connolly; Trey Chadick; Krisztina Holly; Josh Eckels; Eric W. Deutsch; Robert L. Moritz; Jonathan E. Katz; David B. Agus; Michael J. MacCoss; David L. Tabb; Parag Mallick
"Topograph, a Software Platform for Precursor Enrichment Corrected Global Protein Turnover Measurements",2012,Molecular & Cellular Proteomics,article,58,Edward J. Hsieh; Nicholas Shulman; Dao‐Fu Dai; Evelyn S. Vincow; Pabalu P. Karunadharma; Leo J. Pallanck; Peter S. Rabinovitch; Michael J. MacCoss
Skyline: an open source document editor for creating and analyzing targeted proteomics experiments,2010,Bioinformatics,article,4998,Brendan MacLean; Daniela M. Tomazela; Nicholas Shulman; Matthew Chambers; Gregory L. Finney; Barbara Frewen; Randall Kern; David L. Tabb; D.C. Liebler; Michael J. MacCoss
Development of an automated analysis system for data from flow cytometric intracellular cytokine staining assays from clinical vaccine trials,2008,Cytometry Part A,article,21,Nicholas Shulman; Matthew Bellew; George Snelling; Donald Carter; Yunda Huang; Hongli Li; Steven G. Self; M. Juliana McElrath; Stephen C. De Rosa
